Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage,Response
1,50,1,28.0,0,1,1,40362.0,26.0,271,0
0,37,1,2.0,0,1,1,2630.0,124.0,39,0
1,27,1,28.0,1,0,0,72963.0,152.0,261,0
1,46,1,28.0,0,1,1,2630.0,158.0,73,0
1,38,1,45.0,1,1,0,29034.0,152.0,297,0
0,61,1,28.0,0,2,1,53758.0,122.0,299,0
1,49,1,28.0,0,1,0,29244.0,124.0,183,0
0,45,1,28.0,0,1,1,40712.0,26.0,78,1
1,24,1,3.0,1,0,0,29333.0,152.0,130,0
0,49,1,8.0,0,1,1,38866.0,30.0,295,1
1,23,1,13.0,1,0,0,32078.0,152.0,203,0
0,44,1,28.0,1,1,0,49181.0,124.0,77,0
0,71,1,28.0,0,2,1,39607.0,26.0,22,0
0,51,1,28.0,0,1,1,51930.0,124.0,196,0
0,71,1,28.0,0,2,1,31030.0,157.0,36,0
0,45,1,28.0,0,1,1,34832.0,122.0,175,0
0,22,1,41.0,0,0,1,32273.0,153.0,15,0
1,25,1,50.0,1,0,0,38782.0,152.0,63,0
1,54,1,35.0,1,1,0,41429.0,26.0,80,0
1,41,1,24.0,1,1,0,32467.0,26.0,279,0
1,25,1,18.0,1,0,0,2630.0,152.0,28,0
0,27,1,28.0,1,0,0,41328.0,152.0,148,0
0,27,1,28.0,1,0,0,62299.0,152.0,23,0
0,56,1,9.0,1,1,0,28327.0,26.0,116,0
0,39,1,17.0,0,1,0,27464.0,154.0,284,0
1,28,1,14.0,1,0,0,24309.0,152.0,270,0
0,76,1,28.0,0,1,1,49196.0,122.0,110,0
0,22,1,12.0,1,0,0,2630.0,152.0,36,0
1,25,1,14.0,1,0,0,26473.0,152.0,76,0
1,27,1,11.0,1,0,0,21542.0,152.0,117,0
0,25,1,33.0,1,0,0,23388.0,152.0,77,0
1,23,1,8.0,0,0,1,57813.0,152.0,245,0
0,50,1,28.0,0,1,0,46406.0,124.0,96,0
1,59,1,43.0,0,2,1,42264.0,26.0,80,0
1,23,1,8.0,0,0,1,33060.0,152.0,298,0
0,45,1,28.0,0,1,1,23894.0,124.0,147,0
0,23,1,41.0,1,0,0,36024.0,152.0,239,0
0,46,1,46.0,0,1,1,2630.0,156.0,69,1
0,42,1,28.0,0,1,1,30814.0,23.0,60,0
1,25,1,8.0,1,0,0,41655.0,151.0,153,0
0,30,1,41.0,1,0,0,33014.0,152.0,182,0
1,25,1,46.0,1,0,0,25818.0,152.0,75,0
0,39,1,41.0,0,1,1,38212.0,124.0,224,1
1,24,1,6.0,0,0,1,29909.0,152.0,197,0
0,71,1,38.0,0,2,1,38079.0,26.0,89,1
1,27,1,12.0,0,0,1,27925.0,152.0,265,0
1,69,1,28.0,0,1,1,35418.0,26.0,62,0
0,24,1,36.0,1,0,0,48003.0,152.0,89,0
1,74,1,47.0,1,1,0,47928.0,26.0,166,0
1,22,1,2.0,0,0,1,30798.0,152.0,294,0
1,46,1,39.0,1,1,0,29753.0,124.0,127,0
1,49,1,28.0,0,1,1,34730.0,122.0,263,1
0,28,1,28.0,0,1,1,30668.0,155.0,73,1
0,22,1,3.0,1,0,0,27347.0,152.0,168,0
0,25,1,11.0,0,0,1,30759.0,152.0,90,0
1,35,1,28.0,1,1,0,38302.0,152.0,123,0
1,24,1,46.0,1,0,0,28062.0,152.0,231,0
0,59,1,19.0,1,1,0,35613.0,152.0,27,0
1,25,1,41.0,1,0,0,31390.0,152.0,199,0
0,25,1,15.0,1,0,0,37394.0,160.0,289,0
1,56,1,15.0,0,1,1,41085.0,124.0,238,0
0,47,1,28.0,0,1,1,2630.0,13.0,167,0
0,51,1,33.0,1,1,0,43878.0,124.0,231,0
1,35,1,6.0,1,1,0,2630.0,152.0,121,0
1,27,1,28.0,1,0,0,31465.0,152.0,57,0
0,23,1,2.0,1,0,0,23405.0,152.0,98,0
1,42,1,4.0,0,1,1,25004.0,26.0,254,0
1,44,1,28.0,1,1,0,50163.0,124.0,270,0
1,77,1,28.0,0,1,1,45449.0,26.0,236,0
1,33,1,41.0,0,1,1,45342.0,124.0,22,0
0,60,1,28.0,1,1,0,30408.0,26.0,282,0
1,24,1,41.0,1,0,0,33384.0,152.0,15,0
0,51,1,29.0,1,1,0,45483.0,26.0,173,0
1,22,1,37.0,0,0,1,32727.0,152.0,169,0
1,36,1,28.0,0,1,1,45133.0,55.0,101,0
1,42,1,3.0,0,1,1,2630.0,26.0,178,0
0,65,1,28.0,0,1,1,58901.0,26.0,42,1
1,45,1,10.0,1,1,0,23669.0,152.0,266,0
0,27,1,50.0,1,0,0,39403.0,152.0,281,0
0,46,1,28.0,1,1,0,25772.0,26.0,118,0
1,49,1,8.0,0,1,1,33916.0,152.0,13,0
0,25,1,35.0,0,1,1,30293.0,124.0,226,1
1,24,1,40.0,0,0,1,29192.0,152.0,58,0
0,22,1,13.0,1,0,0,2630.0,152.0,218,0
0,28,1,4.0,1,0,0,27466.0,152.0,271,0
0,24,1,13.0,1,0,0,21909.0,26.0,232,0
0,48,1,0.0,0,2,1,2630.0,124.0,268,0
0,23,1,41.0,1,0,0,21933.0,152.0,225,0
0,70,1,28.0,0,1,1,31704.0,124.0,167,0
0,59,1,38.0,0,1,1,23718.0,26.0,102,0
0,55,1,8.0,0,2,1,45032.0,124.0,126,1
1,30,1,46.0,1,0,0,22988.0,152.0,200,0
0,41,1,14.0,0,1,1,30699.0,124.0,108,0
1,63,1,28.0,0,1,1,47123.0,124.0,87,0
1,30,1,33.0,1,0,0,29191.0,152.0,232,0
0,66,1,28.0,0,1,0,54230.0,124.0,236,0
0,45,1,28.0,0,1,0,32886.0,124.0,156,0
1,40,1,28.0,1,1,0,30545.0,125.0,59,0
0,62,1,28.0,0,1,1,42881.0,122.0,88,0
0,26,1,5.0,0,0,1,2630.0,160.0,260,0
0,25,1,44.0,1,0,0,28920.0,152.0,193,0
1,21,1,46.0,1,0,0,21082.0,152.0,237,0
0,21,1,8.0,1,0,0,37984.0,160.0,111,0
0,49,1,41.0,0,1,1,32976.0,157.0,191,0
1,44,1,28.0,0,1,1,36603.0,124.0,53,1
0,52,1,28.0,0,1,1,37487.0,26.0,191,0
0,46,1,8.0,0,1,0,37673.0,26.0,24,0
1,30,1,38.0,1,0,0,33560.0,152.0,170,0
0,24,1,28.0,0,0,0,28336.0,152.0,181,1
0,49,1,28.0,0,1,1,2630.0,139.0,249,0
1,50,1,28.0,0,1,1,50609.0,26.0,11,1
1,40,1,8.0,0,1,1,46314.0,7.0,117,0
0,25,1,28.0,0,0,1,52382.0,152.0,196,0
1,30,1,7.0,1,0,0,34872.0,152.0,42,0
0,58,1,38.0,1,1,0,29618.0,26.0,206,0
0,23,1,8.0,0,0,0,64209.0,152.0,144,0
1,23,1,8.0,1,0,0,41581.0,152.0,194,0
0,69,1,28.0,0,2,1,57502.0,26.0,155,1
1,39,1,8.0,0,1,1,72963.0,26.0,272,1
1,43,1,28.0,1,1,0,48727.0,152.0,253,0
0,73,1,28.0,0,1,1,31912.0,26.0,26,0
1,50,1,7.0,0,1,1,50333.0,124.0,257,0
0,75,1,37.0,1,1,0,33332.0,124.0,248,0
1,23,1,36.0,1,0,0,27441.0,152.0,235,0
0,23,1,15.0,1,0,0,2630.0,152.0,225,0
1,48,1,41.0,1,1,1,2630.0,26.0,261,0
0,38,1,46.0,0,1,0,43214.0,11.0,287,0
0,60,1,46.0,1,1,0,29858.0,21.0,290,0
0,45,1,7.0,0,1,1,61893.0,124.0,132,0
1,26,1,41.0,1,0,0,43850.0,152.0,249,0
0,49,1,17.0,0,1,1,2630.0,156.0,55,0
0,58,1,50.0,1,1,0,31143.0,124.0,239,0
0,24,1,28.0,0,0,1,20461.0,152.0,41,1
1,30,1,6.0,1,0,0,20012.0,152.0,187,0
1,26,1,6.0,1,0,0,19580.0,160.0,150,0
1,44,1,8.0,1,1,1,52835.0,124.0,40,0
0,34,1,46.0,1,0,0,24790.0,152.0,52,0
1,25,1,3.0,0,0,0,23675.0,152.0,68,0
1,49,1,28.0,0,1,1,35846.0,122.0,220,0
0,44,1,29.0,0,1,1,15096.0,124.0,79,0
0,24,1,8.0,1,0,0,68250.0,152.0,21,0
0,51,1,13.0,0,1,1,34582.0,26.0,284,0
0,24,1,8.0,0,0,1,33816.0,152.0,22,0
0,40,1,6.0,1,1,0,2630.0,26.0,242,0
0,61,1,28.0,0,1,1,54076.0,124.0,62,0
0,60,1,17.0,1,1,0,47043.0,26.0,121,0
0,27,1,47.0,1,0,0,27933.0,152.0,38,0
0,34,1,50.0,1,1,0,41328.0,124.0,242,0
1,25,1,8.0,0,0,0,2630.0,156.0,252,0
1,24,1,22.0,0,0,1,24407.0,151.0,186,0
0,67,1,47.0,1,1,0,39838.0,124.0,170,0
0,22,1,12.0,0,0,1,25000.0,152.0,243,0
1,24,1,8.0,0,0,1,37214.0,152.0,156,0
1,24,1,33.0,1,0,0,31504.0,152.0,219,0
1,71,1,48.0,0,2,1,2630.0,124.0,106,0
1,42,1,28.0,1,1,0,50316.0,152.0,299,0
0,64,1,36.0,1,1,0,35786.0,124.0,157,0
0,22,1,45.0,1,0,0,17445.0,152.0,217,0
0,60,1,28.0,0,1,1,59037.0,31.0,284,0
0,60,1,46.0,0,1,1,19986.0,124.0,150,0
1,51,1,18.0,0,2,1,41057.0,124.0,62,0
0,58,1,37.0,1,1,0,28907.0,124.0,86,0
1,46,1,30.0,1,1,0,32381.0,124.0,104,0
1,69,1,41.0,0,1,1,37429.0,124.0,110,0
0,44,1,50.0,0,1,1,2630.0,156.0,174,0
0,23,1,28.0,0,0,0,66343.0,152.0,269,0
1,21,1,50.0,0,0,1,22296.0,160.0,13,0
1,51,1,15.0,0,1,1,36163.0,157.0,221,1
0,56,1,36.0,0,1,1,31488.0,124.0,284,0
0,63,1,8.0,1,1,0,44421.0,26.0,216,0
0,47,1,8.0,0,1,1,30050.0,124.0,188,1
1,26,1,13.0,1,0,0,2630.0,160.0,100,0
0,53,1,9.0,1,1,0,28056.0,26.0,151,0
0,40,1,49.0,0,1,1,33530.0,124.0,275,1
0,30,1,28.0,1,0,0,29692.0,152.0,95,0
1,24,1,39.0,0,0,0,2630.0,152.0,77,0
1,30,1,21.0,1,0,0,30139.0,152.0,145,0
0,50,1,48.0,0,1,1,2630.0,15.0,153,0
1,44,1,29.0,0,1,1,22201.0,26.0,142,0
1,29,1,28.0,0,0,1,27571.0,152.0,133,0
1,22,1,41.0,0,0,1,23481.0,152.0,117,1
0,22,1,46.0,1,0,0,27112.0,152.0,216,0
1,27,1,3.0,0,0,0,2630.0,152.0,209,0
1,22,1,15.0,0,0,0,28105.0,152.0,251,0
1,25,1,13.0,0,0,1,30725.0,151.0,139,0
1,49,1,3.0,1,1,0,44922.0,26.0,83,0
0,42,1,46.0,1,1,0,25123.0,124.0,259,0
0,42,1,28.0,0,1,1,37731.0,124.0,298,0
1,44,1,46.0,0,2,1,2630.0,26.0,239,0
1,41,1,35.0,0,1,1,23849.0,10.0,295,0
1,21,1,13.0,1,0,0,34163.0,160.0,263,0
0,45,1,28.0,0,1,1,39347.0,124.0,297,0
1,75,1,8.0,0,1,1,30553.0,7.0,228,0
0,51,1,8.0,0,2,1,72963.0,124.0,135,0
1,23,1,29.0,1,0,0,55396.0,152.0,257,0
0,39,1,46.0,0,1,1,24000.0,124.0,190,1
1,24,1,10.0,1,0,0,29842.0,152.0,21,0
0,21,1,38.0,0,1,1,2630.0,124.0,36,0
0,45,1,28.0,0,1,1,46878.0,26.0,242,1
0,24,1,17.0,1,0,0,72963.0,152.0,177,0
1,47,1,17.0,1,1,0,28551.0,124.0,149,0
1,46,1,28.0,0,1,1,24760.0,124.0,244,0
0,23,1,11.0,1,0,0,2630.0,152.0,148,0
0,52,1,36.0,0,1,1,32337.0,124.0,84,0
0,30,1,3.0,0,0,1,30255.0,152.0,228,0
0,49,1,28.0,0,1,1,49715.0,25.0,253,1
1,21,1,41.0,1,0,0,32055.0,152.0,245,0
0,25,1,37.0,1,0,0,2630.0,152.0,281,0
0,33,1,15.0,1,0,0,2630.0,152.0,165,0
0,23,1,17.0,1,0,0,2630.0,152.0,223,0
0,46,1,28.0,0,1,1,34629.0,26.0,248,0
0,40,1,8.0,0,1,1,28245.0,124.0,283,1
0,35,1,28.0,0,1,0,26657.0,152.0,285,0
0,31,1,37.0,1,0,0,29125.0,160.0,114,0
1,70,1,28.0,0,1,1,32896.0,124.0,294,0
0,39,1,15.0,1,1,0,39781.0,152.0,286,0
1,80,1,8.0,1,1,0,29992.0,7.0,225,0
1,22,1,47.0,1,0,0,50812.0,152.0,220,0
1,31,1,28.0,1,0,0,28799.0,152.0,37,0
1,27,1,14.0,1,0,0,34447.0,152.0,175,0
0,22,1,30.0,1,0,0,31403.0,152.0,120,0
0,39,1,13.0,1,1,0,34245.0,124.0,198,0
1,24,1,28.0,1,0,0,72963.0,152.0,40,0
0,63,1,8.0,0,1,0,52168.0,26.0,22,0
0,33,1,33.0,0,0,1,2630.0,156.0,85,1
0,22,1,8.0,0,1,1,45774.0,124.0,213,0
1,75,1,28.0,1,1,0,67244.0,124.0,299,0
1,53,1,28.0,0,2,1,56677.0,26.0,261,0
1,25,1,50.0,1,0,0,22492.0,151.0,143,0
0,36,1,41.0,0,1,1,32321.0,26.0,282,1
0,24,1,44.0,0,0,1,41939.0,152.0,142,0
1,68,1,28.0,0,1,1,29946.0,26.0,192,0
1,23,1,8.0,1,0,0,41165.0,152.0,141,0
1,56,1,28.0,0,1,1,54692.0,26.0,231,1
1,55,1,8.0,1,1,0,2630.0,124.0,48,0
0,27,1,41.0,0,0,1,31479.0,26.0,45,0
1,25,1,4.0,1,0,0,22900.0,152.0,27,0
1,77,1,35.0,1,1,0,41667.0,10.0,54,0
1,68,1,3.0,1,1,0,18045.0,124.0,254,0
1,55,1,11.0,0,1,1,2630.0,157.0,220,0
1,57,1,7.0,0,1,1,53435.0,163.0,113,1
0,42,1,8.0,1,1,0,29047.0,26.0,266,0
0,60,1,11.0,0,1,1,39358.0,124.0,110,0
1,47,1,28.0,0,1,1,51570.0,26.0,189,0
0,20,1,46.0,1,0,0,32512.0,160.0,203,0
1,22,1,32.0,1,0,0,29404.0,152.0,254,0
1,22,1,14.0,1,0,0,23829.0,152.0,229,0
0,44,1,19.0,0,1,1,30627.0,26.0,68,0
0,25,1,13.0,1,0,0,26440.0,152.0,281,0
1,40,1,28.0,0,1,1,46393.0,125.0,201,0
1,39,1,46.0,1,1,0,32402.0,26.0,190,0
0,50,1,28.0,0,1,1,29931.0,124.0,58,0
1,53,1,28.0,0,1,1,2630.0,124.0,21,0
0,43,1,28.0,0,1,1,28745.0,26.0,138,0
1,26,1,16.0,1,0,0,32792.0,152.0,78,0
0,36,1,28.0,0,1,1,27841.0,122.0,231,0
1,70,1,28.0,0,1,1,58451.0,26.0,20,0
0,49,1,41.0,1,1,0,42254.0,26.0,84,0
0,68,1,9.0,1,1,0,2630.0,26.0,45,0
0,22,1,39.0,0,0,1,47737.0,152.0,213,0
1,25,1,37.0,1,0,1,33248.0,152.0,188,1
1,22,1,36.0,1,0,0,36185.0,152.0,81,0
1,26,1,15.0,0,0,1,50517.0,151.0,146,0
1,42,1,50.0,0,1,1,39580.0,26.0,155,0
1,46,1,33.0,0,1,1,25304.0,124.0,18,0
1,36,1,28.0,0,1,1,33046.0,124.0,18,0
1,29,1,34.0,1,0,0,45365.0,152.0,164,0
1,42,1,46.0,1,1,0,26277.0,124.0,94,0
0,47,1,35.0,0,0,0,2630.0,1.0,259,0
0,26,1,19.0,0,0,1,23994.0,152.0,69,0
1,68,1,15.0,0,1,1,35815.0,152.0,85,0
0,45,1,28.0,0,1,1,31312.0,124.0,249,0
0,67,1,28.0,1,1,0,52877.0,26.0,151,0
1,23,1,8.0,1,0,0,28145.0,152.0,238,0
1,28,1,8.0,0,0,0,26303.0,152.0,241,0
0,48,1,28.0,1,1,0,39525.0,124.0,54,0
0,51,1,43.0,1,1,1,35673.0,30.0,74,0
0,28,1,35.0,1,0,0,41961.0,152.0,52,0
1,74,1,8.0,1,1,0,2630.0,7.0,228,0
1,42,1,28.0,0,1,1,2630.0,156.0,67,0
1,31,1,24.0,1,0,0,27116.0,152.0,277,0
0,24,1,8.0,1,0,0,47319.0,152.0,70,0
0,25,1,3.0,1,0,0,45583.0,152.0,68,0
0,76,1,28.0,0,1,1,2630.0,26.0,239,0
1,26,1,11.0,1,0,0,36237.0,152.0,266,0
0,20,1,30.0,0,0,1,2630.0,163.0,223,0
1,24,1,25.0,1,0,0,35353.0,152.0,181,0
0,51,1,8.0,0,2,1,41351.0,124.0,214,1
0,40,1,46.0,1,1,0,56770.0,124.0,149,0
1,27,1,46.0,1,0,0,17478.0,152.0,19,0
0,52,1,28.0,0,1,1,41012.0,3.0,287,1
0,30,1,31.0,0,0,1,2630.0,152.0,257,0
1,27,1,28.0,1,0,0,40928.0,152.0,231,0
1,42,1,28.0,0,1,1,29525.0,124.0,201,0
0,75,1,28.0,0,1,1,65821.0,26.0,129,0
0,60,1,39.0,1,1,0,2630.0,26.0,240,0
0,31,1,15.0,1,0,0,2630.0,152.0,266,0
0,22,1,41.0,1,0,0,23326.0,152.0,262,0
0,66,1,31.0,1,1,1,2630.0,26.0,135,0
1,46,1,28.0,0,1,1,44363.0,26.0,199,1
1,52,1,48.0,1,1,0,2630.0,26.0,227,0
1,47,1,28.0,0,1,1,2630.0,26.0,222,0
0,53,1,29.0,1,1,0,19859.0,124.0,136,0
1,31,1,15.0,0,0,1,31057.0,152.0,292,0
1,20,1,47.0,0,0,1,32452.0,160.0,191,0
1,21,1,44.0,0,0,1,15818.0,152.0,70,0
0,49,1,46.0,0,2,1,35481.0,124.0,197,0
0,49,1,3.0,0,1,1,25865.0,156.0,180,0
0,32,1,14.0,0,1,1,29626.0,155.0,282,0
1,26,1,11.0,1,0,0,31337.0,152.0,140,0
0,23,1,15.0,0,0,0,27840.0,26.0,207,0
0,23,1,28.0,1,0,0,57067.0,152.0,291,0
0,22,1,30.0,1,0,0,28586.0,152.0,189,0
0,72,1,28.0,0,2,1,33109.0,124.0,84,0
1,63,1,29.0,1,1,0,40118.0,124.0,126,0
0,48,1,28.0,0,1,1,2630.0,26.0,139,0
1,25,1,6.0,1,0,0,52882.0,152.0,163,0
0,26,1,16.0,0,0,1,21457.0,152.0,282,0
0,20,1,47.0,0,0,1,44108.0,160.0,143,0
0,24,1,49.0,1,0,0,27122.0,152.0,187,0
1,50,1,8.0,1,1,0,30058.0,152.0,179,0
1,21,1,8.0,0,0,1,35934.0,160.0,295,1
0,46,1,39.0,0,1,1,45926.0,124.0,284,0
0,24,1,36.0,0,0,1,25096.0,152.0,237,0
0,42,1,28.0,1,1,0,34885.0,124.0,254,0
1,76,1,8.0,0,1,1,50732.0,26.0,244,0
1,39,1,18.0,0,1,1,2630.0,124.0,54,0
0,21,1,12.0,0,0,1,25133.0,160.0,145,0
0,34,1,50.0,1,1,0,19578.0,152.0,286,0
0,56,1,32.0,1,1,1,24777.0,124.0,274,0
0,27,1,8.0,1,0,0,26851.0,152.0,179,0
1,29,1,33.0,1,0,0,52537.0,152.0,291,0
0,24,1,23.0,0,1,1,25445.0,163.0,67,0
0,66,1,36.0,0,1,1,34601.0,26.0,62,1
1,36,1,37.0,0,1,1,29876.0,152.0,102,0
1,36,1,36.0,0,0,0,2630.0,1.0,172,0
0,60,1,21.0,0,1,1,27522.0,152.0,248,0
1,24,1,3.0,1,0,0,23255.0,152.0,82,0
0,26,1,28.0,1,0,1,2630.0,160.0,186,0
0,29,1,50.0,1,0,0,29236.0,152.0,57,0
0,23,1,21.0,1,0,0,22104.0,152.0,216,0
1,27,1,2.0,0,0,1,38118.0,152.0,226,0
0,42,1,41.0,0,1,0,22703.0,124.0,76,0
0,22,1,50.0,1,0,0,35293.0,152.0,92,0
1,28,1,2.0,0,0,1,33545.0,151.0,127,0
0,24,1,14.0,1,0,0,30047.0,152.0,137,0
1,42,1,28.0,1,1,0,35732.0,26.0,231,0
1,59,1,10.0,0,1,1,26368.0,124.0,117,0
0,44,1,45.0,0,1,1,26908.0,124.0,170,0
1,39,1,48.0,0,1,1,2630.0,124.0,216,0
0,35,1,3.0,0,1,1,27250.0,26.0,124,0
0,38,1,35.0,1,1,0,34167.0,152.0,37,0
0,22,1,36.0,0,0,0,28356.0,152.0,33,0
0,25,1,37.0,0,0,0,31130.0,152.0,96,0
0,30,1,28.0,1,0,0,32910.0,152.0,158,0
0,25,1,11.0,1,1,0,33965.0,154.0,121,0
0,28,1,29.0,1,0,0,35344.0,152.0,13,0
1,24,1,15.0,1,0,0,31660.0,152.0,223,0
1,28,1,43.0,1,0,0,2630.0,152.0,197,0
1,50,1,28.0,0,1,1,71500.0,26.0,54,1
0,37,1,11.0,1,1,0,27324.0,26.0,26,0
0,25,1,3.0,1,0,0,23181.0,152.0,243,0
1,25,1,36.0,1,0,0,2630.0,152.0,82,0
1,50,1,13.0,0,1,1,21101.0,26.0,249,0
0,25,1,46.0,0,0,1,23963.0,152.0,163,0
1,72,1,28.0,0,1,1,57810.0,124.0,115,0
0,69,1,28.0,0,2,1,27313.0,13.0,215,0
0,47,1,37.0,0,0,1,37358.0,26.0,114,1
1,22,1,30.0,1,0,0,45306.0,152.0,28,0
1,47,1,37.0,0,1,1,51552.0,30.0,247,0
1,22,1,16.0,1,0,0,2630.0,160.0,56,0
0,29,1,46.0,0,1,1,2630.0,156.0,280,1
